1	1.fna	2.fna	3.fna	4.fna	5.fna	6.fna	7.fna	8.fna	9.fna	10.fna	11.fna	12.fna	13.fna	14.fna	15.fna	16.fna	17.fna	18.fna	19.fna	20.fna	21.fna	22.fna	23.fna	24.fna	25.fna	26.fna	27.fna	28.fna	29.fna	30.fna	31.fna	32.fna	33.fna	34.fna	35.fna	36.fna	37.fna	38.fna	39.fna	40.fna	41.fna	42.fna	43.fna	44.fna	45.fna	46.fna	47.fna	48.fna	49.fna	50.fna
11.fna	0.025380	0.000000	0.020178	0.009262	0.014134	0.044881	0.033821	0.033821	0.000185	0.009538	0.000000	0.063206	0.006795	1	0.030982	0.000000	0.000000	0.000000	0.000000	0.000000	0.006532	0.000000	0.012683	0.000000	0.008238	0.013456	0.016899	0.000000	0.000000	0.000000	0.026686	0.004220	0.046006	0.000000	0.000000	0.008905	0.000000	0.012638	0.012615	0.000000	0.015670	0.017858	0.000000	0.026091	0.004587	0.019168	0.000000	0.000000	0.031230	0.036420
12.fna	0.025753	0.000000	0.000000	0.025489	0.026464	0.037317	0.022740	0.022740	0.023371	0.011483	0.024896	0.015663	0.026310	0.036420	0.012868	0.008505	0.007579	0.013682	0.015270	0.015389	0.040884	0.026238	0.000000	0.002841	0.019673	0.010824	0.000000	0.042051	0.006500	0.005529	0.014196	0.002205	0.000000	0.005698	0.047537	0.036292	0.023304	0.000000	0.006282	0.000000	0.036214	0.010366	0.000000	0.014540	0.006744	0.000000	0.020404	0.018404	0.566838	1
13.fna	0.031586	0.000000	0.000000	0.000000	0.006809	0.023830	0.005308	0.005308	0.002188	0.036295	0.000152	0.000000	0.006336	0.031230	0.000000	0.001044	0.000080	0.024025	0.022358	0.000000	0.018538	0.011233	0.000000	0.000000	0.017460	0.006499	0.008412	0.016849	0.000000	0.000000	0.000000	0.012086	0.000000	0.000000	0.033665	0.018354	0.000000	0.000000	0.000000	0.000000	0.018194	0.000764	0.000000	0.009658	0.000000	0.000000	0.009120	0.014704	1	0.566838
14.fna	0.000000	0.000000	0.000000	0.000000	0.000000	0.011959	0.015459	0.015459	0.000000	0.020860	0.000000	0.000000	0.000000	0.000000	0.055094	0.004412	0.005106	0.000000	0.000000	0.000000	0.010463	0.015803	0.000000	0.028470	0.000000	0.000210	0.000000	0.000000	0.000000	0.000000	0.024748	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006173	0.000000	1	0.003499	0.009942	0.000000	0.003920	0.000000	0.000000	0.009029	0.010581	0.000000	0.000000
15.fna	0.000000	0.008109	0.000000	0.000000	0.000000	0.006756	0.001467	0.001467	0.013075	0.000000	0.010084	0.000000	0.000000	0.012615	0.000000	0.010155	0.005452	0.000000	0.000000	0.009050	0.011912	0.000000	0.000000	0.005630	0.000000	0.025448	0.000000	0.000000	0.000000	0.000000	0.000200	0.000000	0.019891	0.001186	0.000000	0.000000	0.000000	0.006069	1	0.000000	0.000000	0.000000	0.009082	0.000000	0.000000	0.008985	0.016107	0.013186	0.000000	0.006282
16.fna	0.027815	0.009224	0.012468	0.001270	0.008356	0.023253	0.000000	0.000000	0.009839	0.015907	0.002821	0.022166	0.008372	0.008905	0.000000	0.019147	0.017815	0.030128	0.032044	0.035039	0.017568	0.024273	0.000000	0.032315	0.009660	0.025364	0.000000	0.003638	0.045204	0.047384	0.006866	0.008558	0.028066	0.000000	0.018809	1	0.050233	0.024752	0.000000	0.000000	0.047352	0.026193	0.000000	0.026417	0.000000	0.021220	0.015436	0.011859	0.018354	0.036292
17.fna	0.000000	0.000000	0.007878	0.009458	0.000000	0.011397	0.004699	0.004699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009149	0.007806	0.000000	0.000000	0.000000	0.003373	0.000000	0.000000	0.005745	0.005842	0.018371	0.013979	0.000000	0.004036	0.004901	0.000000	0.000000	0.000000	0.000000	1	0.018809	0.008864	0.000000	0.000000	0.000000	0.000000	0.012180	0.000000	0.013843	0.000000	0.010937	0.000000	0.000000	0.033665	0.047537
18.fna	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002319	1	0.993121	0.000000	0.000000	0.000000	0.000000	0.004036	0.045204	0.939193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006290	0.001448	0.000000	0.000000	0.006500
19.fna	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002090	0.993121	1	0.000000	0.000000	0.000000	0.000000	0.004901	0.047384	0.945698	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004915	0.000931	0.000000	0.000000	0.005529
20.fna	0.000000	0.000000	0.000000	0.000000	0.000000	0.003921	0.000000	0.000000	0.000000	0.006140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000816	0.000000	0.000000	0.000000	0.000000	0.000000	0.009572	0.939193	0.945698	0.015325	0.000000	0.000000	0.000000	0.008864	0.050233	1	0.000000	0.000000	0.000000	0.000000	0.003756	0.000000	0.000000	0.000000	0.012345	0.011603	0.005012	0.000000	0.023304
21.fna	0.012462	0.000000	0.000000	0.000000	0.000669	0.000000	0.000000	0.000000	0.000000	0.019112	0.000000	0.012403	0.000000	0.000000	0.014730	0.000000	0.000000	0.000000	0.000000	1	0.048610	0.000000	0.000000	0.007955	0.000000	0.002606	0.000000	0.008252	0.000000	0.000000	0.011861	0.002683	0.000000	0.000000	0.000000	0.035039	0.000000	0.001805	0.009050	0.000000	0.011667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015389
22.fna	0.000000	0.000000	0.000000	0.005906	0.007524	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000188	0.001463	0.008252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.002319	0.002090	0.012018	0.019052	0.006122	0.002187	0.000000	0.003638	0.009572	0.000000	0.000000	0.000000	0.022030	0.025122	0.000000	0.027040	0.000000	0.001683	0.000000	0.000000	0.016849	0.042051
23.fna	0.003603	0.015498	0.025718	0.003341	0.007705	0.015805	0.030800	0.030800	1	0.098139	0.983343	0.001451	0.000000	0.000185	0.004704	0.000000	0.000000	0.068099	0.067656	0.000000	0.016251	0.000000	0.010315	0.000000	0.003782	0.000000	0.000000	0.000000	0.000000	0.000000	0.024622	0.000000	0.010038	0.000000	0.000000	0.009839	0.000000	0.007976	0.013075	0.000000	0.002463	0.000000	0.000000	0.000000	0.018090	0.000000	0.024316	0.036633	0.002188	0.023371
24.fna	0.000000	0.014348	0.027442	0.000742	0.002693	0.015427	0.025873	0.025873	0.983343	0.092971	1	0.002308	0.000000	0.000000	0.000000	0.000000	0.000000	0.062734	0.062278	0.000000	0.015143	0.000000	0.010471	0.000000	0.002551	0.000000	0.000000	0.000000	0.000000	0.000000	0.021545	0.000000	0.006834	0.000000	0.000000	0.002821	0.000000	0.011540	0.010084	0.000000	0.003349	0.000000	0.000000	0.000000	0.015418	0.000000	0.023580	0.035590	0.000152	0.024896
25.fna	0.000000	0.000000	0.006391	0.038349	0.028721	0.002812	0.019255	0.019255	0.067656	0.547473	0.062278	0.003335	0.000000	0.000000	0.001826	0.000000	0.000000	0.995767	1	0.000000	0.031278	0.000000	0.000000	0.000000	0.014925	0.000000	0.000000	0.001463	0.000000	0.000000	0.002864	0.000000	0.000000	0.000000	0.000000	0.032044	0.000000	0.014529	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004054	0.000000	0.000000	0.000000	0.022358	0.015270
26.fna	0.000000	0.000000	0.003015	0.038986	0.028161	0.000843	0.016139	0.016139	0.068099	0.547399	0.062734	0.001927	0.000000	0.000000	0.000333	0.000000	0.000000	1	0.995767	0.000000	0.032860	0.000000	0.000000	0.000000	0.017711	0.000000	0.000000	0.000188	0.000000	0.000000	0.003835	0.000000	0.000000	0.000000	0.000000	0.030128	0.000000	0.014406	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006080	0.000000	0.000000	0.000000	0.024025	0.013682
27.fna	0.000000	0.017792	0.019507	0.038529	0.036799	0.006869	0.015415	0.015415	0.098139	1	0.092971	0.003263	0.006593	0.009538	0.031241	0.020611	0.021173	0.547399	0.547473	0.019112	0.034021	0.000000	0.045796	0.003482	0.011252	0.002109	0.000000	0.000000	0.000000	0.000000	0.024442	0.000000	0.029652	0.023013	0.000000	0.015907	0.006140	0.048816	0.000000	0.020860	0.005441	0.012524	0.000000	0.015102	0.060537	0.016432	0.000562	0.000000	0.036295	0.011483
28.fna	0.001911	0.000000	0.000000	0.000000	0.000000	0.006441	0.000000	0.000000	0.010315	0.045796	0.010471	0.000000	0.000000	0.012683	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.000000	0.000000	0.000271	0.000000	0.000000	0.000000	0.000000	0.000000	0.007459	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.019168	0.045503	0.025221	0.048534	0.000000	0.022617	0.000000	0.000000	0.000000	0.000000
29.fna	0.000000	0.000000	0.000000	0.005780	0.003850	0.029559	0.000000	0.000000	0.002463	0.005441	0.003349	0.014016	0.000000	0.015670	0.024130	0.000000	0.000000	0.000000	0.000000	0.011667	0.014269	0.000000	0.019168	0.000000	0.026324	0.006806	0.001867	0.022030	0.000000	0.000000	0.023071	0.000000	0.000000	0.019398	0.000000	0.047352	0.000000	0.007973	0.000000	0.003499	1	0.000000	0.003953	0.000000	0.000000	0.018069	0.015450	0.023456	0.018194	0.036214
30.fna	0.004396	0.000000	0.000000	0.000000	0.000000	0.000000	0.009287	0.009287	0.001451	0.003263	0.002308	1	0.000000	0.063206	0.111138	0.005051	0.005646	0.001927	0.003335	0.012403	0.000000	0.000000	0.000000	0.000000	0.020278	0.021436	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003209	0.000000	0.022166	0.000000	0.000000	0.000000	0.000000	0.014016	0.000000	0.000000	0.000000	0.018797	0.000000	0.000000	0.000000	0.000000	0.015663
31.fna	0.004429	0.000000	0.012393	0.023486	0.024017	0.009254	0.005260	0.005260	0.000000	0.021173	0.000000	0.005646	0.000000	0.000000	0.038378	0.994570	1	0.000000	0.000000	0.000000	0.015482	0.000000	0.000000	0.018748	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.032129	0.000000	0.001169	0.024901	0.007806	0.017815	0.000000	0.007150	0.005452	0.005106	0.000000	0.000000	0.000000	0.000629	0.004851	0.000000	0.006598	0.004262	0.000080	0.007579
32.fna	0.003926	0.000000	0.011878	0.022958	0.023496	0.008739	0.004722	0.004722	0.000000	0.020611	0.000000	0.005051	0.000000	0.000000	0.037777	1	0.994570	0.000000	0.000000	0.000000	0.014870	0.000000	0.000000	0.018127	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.031479	0.000000	0.000526	0.024245	0.009149	0.019147	0.000000	0.006501	0.010155	0.004412	0.000000	0.000000	0.000000	0.000000	0.004117	0.000000	0.005856	0.003514	0.001044	0.008505
33.fna	0.003109	0.000000	0.005047	0.000000	0.000000	0.014943	0.000000	0.000000	0.004704	0.031241	0.000000	0.111138	0.000000	0.030982	1	0.037777	0.038378	0.000333	0.001826	0.014730	0.041059	0.002192	0.000000	0.000000	0.016959	0.027683	0.000000	0.000000	0.000000	0.000000	0.017709	0.000000	0.031334	0.029303	0.000000	0.000000	0.000000	0.033670	0.000000	0.055094	0.024130	0.025871	0.026700	0.035288	0.000983	0.035168	0.035585	0.041245	0.000000	0.012868
34.fna	0.018936	0.000000	0.014401	0.000000	0.022459	0.023687	0.000000	0.000000	0.000000	0.006593	0.000000	0.000000	1	0.006795	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028159	0.000000	0.000000	0.000000	0.000000	0.008372	0.000000	0.000345	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006336	0.026310
35.fna	0.013516	0.000000	0.000000	0.003946	0.002495	0.012627	0.015376	0.015376	0.010038	0.029652	0.006834	0.000000	0.000000	0.046006	0.031334	0.000526	0.001169	0.000000	0.000000	0.000000	0.028705	0.017336	0.000000	0.000000	0.013451	0.000000	0.013119	0.006122	0.000000	0.000000	0.422692	0.006108	1	0.000000	0.000000	0.028066	0.000000	0.009921	0.019891	0.000000	0.000000	0.014911	0.010061	0.016999	0.023926	0.000000	0.000794	0.000000	0.000000	0.000000
36.fna	0.012109	0.000000	0.027930	0.020019	0.031313	0.064315	0.016978	0.016978	0.024622	0.024442	0.021545	0.000000	0.028159	0.026686	0.017709	0.031479	0.032129	0.003835	0.002864	0.011861	0.002605	0.022377	0.000000	0.009355	0.000000	0.000000	0.000000	0.012018	0.000000	0.000000	1	0.017438	0.422692	0.007264	0.000000	0.006866	0.015325	0.000000	0.000200	0.024748	0.023071	0.021544	0.024728	0.024156	0.009044	0.006654	0.019464	0.013580	0.000000	0.014196
37.fna	0.013384	0.006816	0.003619	0.000000	0.000000	0.034388	0.050219	0.050219	0.016251	0.034021	0.015143	0.000000	0.000000	0.006532	0.041059	0.014870	0.015482	0.032860	0.031278	0.048610	1	0.000000	0.000000	0.010493	0.533187	0.040481	0.028425	0.000000	0.000000	0.000000	0.002605	0.028630	0.028705	0.009195	0.003373	0.017568	0.000000	0.042808	0.011912	0.010463	0.014269	0.040585	0.000000	0.051034	0.010748	0.032681	0.005255	0.000638	0.018538	0.040884
38.fna	0.000359	0.000000	0.000000	0.005200	0.004039	0.007375	0.020030	0.020030	0.003782	0.011252	0.002551	0.020278	0.000000	0.008238	0.016959	0.000000	0.000000	0.017711	0.014925	0.000000	0.533187	0.000000	0.000000	0.000000	1	0.028273	0.018037	0.000000	0.000000	0.000000	0.000000	0.000000	0.013451	0.001157	0.005842	0.009660	0.000000	0.046162	0.000000	0.000000	0.026324	0.011266	0.000000	0.024029	0.000988	0.029933	0.000000	0.000000	0.017460	0.019673
39.fna	0.008057	0.001103	0.046454	0.014239	0.004902	0.014051	0.026623	0.026623	0.000000	0.002109	0.000000	0.021436	0.000000	0.013456	0.027683	0.000000	0.000000	0.000000	0.000000	0.002606	0.040481	0.000000	0.000271	0.004332	0.028273	1	0.013814	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008591	0.018371	0.025364	0.000000	0.006966	0.025448	0.000210	0.006806	0.033309	0.000000	0.038140	0.000000	0.018001	0.000000	0.000000	0.006499	0.010824
40.fna	0.000000	0.000000	0.000000	0.009944	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002192	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.000000	0.014608	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022377	0.021568	0.017336	0.008950	0.000000	0.024273	0.000816	0.000000	0.000000	0.015803	0.000000	0.020209	0.000000	0.018336	0.014359	0.008047	0.002953	0.006977	0.011233	0.026238
41.fna	0.000000	0.000000	0.001456	0.000000	0.000000	0.003974	0.009936	0.009936	0.007976	0.048816	0.011540	0.000000	0.000345	0.012638	0.033670	0.006501	0.007150	0.014406	0.014529	0.001805	0.042808	0.000000	0.000000	0.000000	0.046162	0.006966	0.027870	0.000000	0.000000	0.000000	0.000000	0.000000	0.009921	0.014977	0.000000	0.024752	0.000000	1	0.006069	0.006173	0.007973	0.025216	0.000000	0.035763	0.013572	0.042490	0.008947	0.000000	0.000000	0.000000
42.fna	0.332626	0.384149	0.493226	0.285915	0.287664	1	0.505378	0.505378	0.015805	0.006869	0.015427	0.000000	0.023687	0.044881	0.014943	0.008739	0.009254	0.000843	0.002812	0.000000	0.034388	0.000000	0.006441	0.015334	0.007375	0.014051	0.013574	0.000000	0.000000	0.000000	0.064315	0.047374	0.012627	0.012312	0.011397	0.023253	0.003921	0.003974	0.006756	0.011959	0.029559	0.000576	0.021551	0.000000	0.002810	0.004118	0.013079	0.018136	0.023830	0.037317
43.fna	1	0.272327	0.292376	0.343303	0.368858	0.332626	0.323410	0.323410	0.003603	0.000000	0.000000	0.004396	0.018936	0.025380	0.003109	0.003926	0.004429	0.000000	0.000000	0.012462	0.013384	0.000000	0.001911	0.020931	0.000359	0.008057	0.013888	0.000000	0.000000	0.000000	0.012109	0.019696	0.013516	0.008058	0.000000	0.027815	0.000000	0.000000	0.000000	0.000000	0.000000	0.014804	0.000000	0.005046	0.003390	0.005579	0.000000	0.000000	0.031586	0.025753
44.fna	0.292376	0.374837	1	0.282591	0.281247	0.493226	0.454347	0.454347	0.025718	0.019507	0.027442	0.000000	0.014401	0.020178	0.005047	0.011878	0.012393	0.003015	0.006391	0.000000	0.003619	0.000000	0.000000	0.000000	0.000000	0.046454	0.002055	0.000000	0.000000	0.000000	0.027930	0.010546	0.000000	0.037910	0.007878	0.012468	0.000000	0.001456	0.000000	0.000000	0.000000	0.001836	0.020684	0.000000	0.000000	0.000000	0.037272	0.039909	0.000000	0.000000
45.fna	0.323410	0.356404	0.454347	0.273130	0.286384	0.505378	1	1.000000	0.030800	0.015415	0.025873	0.009287	0.000000	0.033821	0.000000	0.004722	0.005260	0.016139	0.019255	0.000000	0.050219	0.000000	0.000000	0.000000	0.020030	0.026623	0.026996	0.000000	0.000000	0.000000	0.016978	0.003567	0.015376	0.000000	0.004699	0.000000	0.000000	0.009936	0.001467	0.015459	0.000000	0.018282	0.008330	0.019301	0.000000	0.000000	0.021050	0.026871	0.005308	0.022740
46.fna	0.000000	0.000000	0.020684	0.002279	0.010712	0.021551	0.008330	0.008330	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025221	0.010824	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024728	0.006150	0.010061	0.019080	0.000000	0.000000	0.000000	0.000000	0.009082	0.000000	0.003953	0.038819	1	0.033649	0.000282	0.020259	0.000000	0.000000	0.000000	0.000000
47.fna	0.323410	0.356404	0.454347	0.273130	0.286384	0.505378	1.000000	1	0.030800	0.015415	0.025873	0.009287	0.000000	0.033821	0.000000	0.004722	0.005260	0.016139	0.019255	0.000000	0.050219	0.000000	0.000000	0.000000	0.020030	0.026623	0.026996	0.000000	0.000000	0.000000	0.016978	0.003567	0.015376	0.000000	0.004699	0.000000	0.000000	0.009936	0.001467	0.015459	0.000000	0.018282	0.008330	0.019301	0.000000	0.000000	0.021050	0.026871	0.005308	0.022740
48.fna	0.272327	1	0.374837	0.256259	0.258458	0.384149	0.356404	0.356404	0.015498	0.017792	0.014348	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006816	0.000000	0.000000	0.000000	0.000000	0.001103	0.000000	0.000000	0.000000	0.000000	0.000000	0.002922	0.000000	0.001805	0.000000	0.009224	0.000000	0.000000	0.008109	0.000000	0.000000	0.011600	0.000000	0.016964	0.000000	0.000000	0.006096	0.008194	0.000000	0.000000
49.fna	0.343303	0.256259	0.282591	1	0.811523	0.285915	0.273130	0.273130	0.003341	0.038529	0.000742	0.000000	0.000000	0.009262	0.000000	0.022958	0.023486	0.038986	0.038349	0.000000	0.000000	0.009944	0.000000	0.019656	0.005200	0.014239	0.018242	0.005906	0.000000	0.000000	0.020019	0.008681	0.003946	0.004940	0.009458	0.001270	0.000000	0.000000	0.000000	0.000000	0.005780	0.027617	0.002279	0.027489	0.000000	0.019664	0.000000	0.000000	0.000000	0.025489
50.fna	0.368858	0.258458	0.281247	0.811523	1	0.287664	0.286384	0.286384	0.007705	0.036799	0.002693	0.000000	0.022459	0.014134	0.000000	0.023496	0.024017	0.028161	0.028721	0.000669	0.000000	0.000000	0.000000	0.019777	0.004039	0.004902	0.017406	0.007524	0.000000	0.000000	0.031313	0.024226	0.002495	0.000000	0.000000	0.008356	0.000000	0.000000	0.000000	0.000000	0.003850	0.018465	0.010712	0.018052	0.000000	0.015352	0.000000	0.000000	0.006809	0.026464
